hd,smartContractId,name,object,info,price,img
1,1,1,star,,0.15,
3,2,3,star,,0.15,
4,3,4,star,,0.15,
5,4,5,star,,0.15,
6,5,6,star,,0.15,
10,6,10,star,,0.15,
12,7,12,star,,0.15,
14,8,14,star,,0.15,
15,9,15,star,,0.15,
16,10,16,star,,0.15,
17,11,17,star,,0.15,
18,12,18,star,,0.15,
20,13,20,star,,0.15,
21,14,21,star,,0.15,
22,15,22,star,,0.15,
23,16,23,star,,0.15,
24,17,24,star,,0.15,
26,18,26,star,,0.15,
27,19,27,star,,0.15,
28,20,28,star,,0.15,
31,21,31,star,,0.15,
32,22,32,star,,0.15,
34,23,34,star,,0.15,
38,24,38,star,,0.15,
39,25,39,star,,0.15,
40,26,40,star,,0.15,
42,27,42,star,,0.15,
43,28,43,star,,0.15,
46,29,46,star,,0.15,
48,30,48,star,,0.15,
52,31,52,star,,0.15,
53,32,53,star,,0.15,
54,33,54,star,,0.15,
55,34,55,star,,0.15,
56,35,56,star,,0.15,
58,36,58,star,,0.15,
62,37,62,star,,0.15,
63,38,63,star,,0.15,
65,39,65,star,,0.15,
66,40,66,star,,0.15,
67,41,67,star,,0.15,
69,42,69,star,,0.15,
70,43,70,star,,0.15,
71,44,71,star,,0.15,
72,45,72,star,,0.15,
73,46,73,star,,0.15,
76,47,76,star,,0.15,
78,48,78,star,,0.15,
79,49,79,star,,0.15,
80,50,80,star,,0.15,
83,51,83,star,,0.15,
85,52,85,star,,0.15,
87,53,87,star,,0.15,
88,54,88,star,,0.15,
90,55,90,star,,0.15,
91,56,91,star,,0.15,
94,57,94,star,,0.15,
97,58,97,star,,0.15,
98,59,98,star,,0.15,
99,60,99,star,,0.15,
100,61,100,star,,0.15,
101,62,101,star,,0.15,
105,63,105,star,,0.15,
106,64,106,star,,0.15,
108,65,108,star,,0.15,
109,66,109,star,,0.15,
110,67,110,star,,0.15,
111,68,111,star,,0.15,
112,69,112,star,,0.15,
113,70,113,star,,0.15,
114,71,114,star,,0.15,
118,72,118,star,,0.15,
119,73,119,star,,0.15,
120,74,120,star,,0.15,
121,75,121,star,,0.15,
122,76,122,star,,0.15,
123,77,123,star,,0.15,
126,78,126,star,,0.15,
127,79,127,star,,0.15,
129,80,129,star,,0.15,
135,81,135,star,,0.15,
137,82,137,star,,0.15,
139,83,139,star,,0.15,
140,84,140,star,,0.15,
141,85,141,star,,0.15,
142,86,142,star,HD 142 is a 6th magnitude yellow-white dwarf star approximately 84 light years away in the constellation of Phoenix.,0.15,
144,87,144,star,,0.15,
145,88,145,star,,0.15,
146,89,146,star,,0.15,
148,90,148,star,,0.15,
151,91,151,star,,0.15,
152,92,152,star,,0.15,
153,93,153,star,,0.15,
155,94,155,star,,0.15,
156,95,156,star,,0.15,
160,96,160,star,,0.15,
161,97,161,star,,0.15,
162,98,162,star,,0.15,
164,99,164,star,,0.15,
165,100,165,star,,0.15,
166,101,166,star,"HD 166 or V439 Andromedae (ADS 69 A) is a 6th magnitude star in the constellation Andromeda, approximately 45 light years away from Earth.",0.15,
167,102,167,star,,0.15,
171,103,171,star,,0.15,
172,104,172,star,,0.15,
174,105,174,star,,0.15,
175,106,175,star,,0.15,
181,107,181,star,,0.15,
183,108,183,star,,0.15,
186,109,186,star,,0.15,
187,110,187,star,,0.15,
189,111,189,star,,0.15,
190,112,190,star,,0.15,
195,113,195,star,,0.15,
196,114,196,star,,0.15,
199,115,199,star,,0.15,
200,116,200,star,,0.15,
202,117,202,star,,0.15,
203,118,203,star,,0.15,
204,119,204,star,,0.15,
206,120,206,star,,0.15,
208,121,208,star,,0.15,
212,122,212,star,,0.15,
213,123,213,star,,0.15,
216,124,216,star,,0.15,
217,125,217,star,,0.15,
218,126,218,star,,0.15,
219,127,219,star,,0.15,
222,128,222,star,,0.15,
223,129,223,star,,0.15,
225,130,225,star,,0.15,
227,131,227,star,,0.15,
228,132,228,star,,0.15,
230,133,230,star,,0.15,
231,134,231,star,,0.15,
233,135,233,star,,0.15,
235,136,235,star,,0.15,
236,137,236,star,,0.15,
238,138,238,star,,0.15,
241,139,241,star,,0.15,
243,140,243,star,,0.15,
245,141,245,star,,0.15,
249,142,249,star,,0.15,
250,143,250,star,,0.15,
251,144,251,star,,0.15,
253,145,253,star,,0.15,
256,146,256,star,HD 256 is a young A-type star in the constellation Cetus. Exocomets have been discovered obiting around it.,0.15,
257,147,257,star,,0.15,
259,148,259,star,,0.15,
260,149,260,star,,0.15,
264,150,264,star,,0.15,
266,151,266,star,,0.15,
267,152,267,star,,0.15,
268,153,268,star,,0.15,
270,154,270,star,,0.15,
273,155,273,star,,0.15,
276,156,276,star,,0.15,
277,157,277,star,,0.15,
278,158,278,star,,0.15,
279,159,279,star,,0.15,
281,160,281,star,,0.15,
282,161,282,star,,0.15,
283,162,283,star,,0.15,
285,163,285,star,,0.15,
290,164,290,star,,0.15,
291,165,291,star,,0.15,
292,166,292,star,,0.15,
294,167,294,star,,0.15,
299,168,299,star,,0.15,
305,169,305,star,,0.15,
307,170,307,star,,0.15,
309,171,309,star,,0.15,
310,172,310,star,,0.15,
312,173,312,star,,0.15,
313,174,313,star,,0.15,
315,175,315,star,,0.15,
316,176,316,star,,0.15,
317,177,317,star,,0.15,
318,178,318,star,,0.15,
319,179,319,star,,0.15,
321,180,321,star,,0.15,
322,181,322,star,,0.15,
323,182,323,star,,0.15,
324,183,324,star,,0.15,
326,184,326,star,,0.15,
330,185,330,star,,0.15,
332,186,332,star,,0.15,
333,187,333,star,,0.15,
334,188,334,star,,0.15,
336,189,336,star,,0.15,
337,190,337,star,,0.15,
340,191,340,star,,0.15,
341,192,341,star,,0.15,
342,193,342,star,,0.15,
343,194,343,star,,0.15,
344,195,344,star,,0.15,
345,196,345,star,,0.15,
346,197,346,star,,0.15,
349,198,349,star,,0.15,
350,199,350,star,,0.15,
352,200,352,star,,0.15,
356,201,356,star,,0.15,
357,202,357,star,,0.15,
359,203,359,star,,0.15,
360,204,360,star,,0.15,
361,205,361,star,,0.15,
364,206,364,star,,0.15,
365,207,365,star,,0.15,
367,208,367,star,,0.15,
368,209,368,star,,0.15,
369,210,369,star,,0.15,
370,211,370,star,,0.15,
371,212,371,star,,0.15,
372,213,372,star,,0.15,
373,214,373,star,,0.15,
375,215,375,star,,0.15,
377,216,377,star,,0.15,
380,217,380,star,,0.15,
383,218,383,star,,0.15,
384,219,384,star,,0.15,
385,220,385,star,,0.15,
387,221,387,star,,0.15,
388,222,388,star,,0.15,
391,223,391,star,,0.15,
392,224,392,star,,0.15,
394,225,394,star,,0.15,
395,226,395,star,,0.15,
396,227,396,star,,0.15,
397,228,397,star,,0.15,
398,229,398,star,,0.15,
400,230,400,star,,0.15,
402,231,402,star,,0.15,
403,232,403,star,,0.15,
404,233,404,star,,0.15,
405,234,405,star,,0.15,
406,235,406,star,,0.15,
413,236,413,star,,0.15,
414,237,414,star,,0.15,
417,238,417,star,,0.15,
418,239,418,star,,0.15,
422,240,422,star,,0.15,
425,241,425,star,,0.15,
427,242,427,star,,0.15,
428,243,428,star,,0.15,
429,244,429,star,,0.15,
431,245,431,star,,0.15,
433,246,433,star,,0.15,
434,247,434,star,,0.15,
435,248,435,star,,0.15,
437,249,437,star,,0.15,
438,250,438,star,,0.15,
439,251,439,star,,0.15,
441,252,441,star,,0.15,
442,253,442,star,,0.15,
443,254,443,star,,0.15,
445,255,445,star,,0.15,
446,256,446,star,,0.15,
447,257,447,star,,0.15,
448,258,448,star,,0.15,
449,259,449,star,,0.15,
452,260,452,star,,0.15,
454,261,454,star,,0.15,
457,262,457,star,,0.15,
458,263,458,star,,0.15,
460,264,460,star,,0.15,
461,265,461,star,,0.15,
464,266,464,star,,0.15,
466,267,466,star,,0.15,
469,268,469,star,,0.15,
470,269,470,star,,0.15,
471,270,471,star,,0.15,
473,271,473,star,,0.15,
475,272,475,star,,0.15,
477,273,477,star,,0.15,
479,274,479,star,,0.15,
480,275,480,star,,0.15,
481,276,481,star,,0.15,
482,277,482,star,,0.15,
483,278,483,star,,0.15,
486,279,486,star,,0.15,
487,280,487,star,,0.15,
489,281,489,star,,0.15,
