hd,Name,Object,Info,Price,img,Skymap,wikipedia
0,Sun,Star," The Sun is the star at the center of the Solar System. It is a nearly perfect sphere of hot plasma, with internal convective motion that generates a magnetic field via a dynamo process. It is by far the most important source of energy for life on Earth. ",10000000,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Solar_prominence_from_STEREO_spacecraft_September_29%2C_2008.jpg/1024px-Solar_prominence_from_STEREO_spacecraft_September_29%2C_2008.jpg,no,
-1,Moon,Satellite,"The Moon is an astronomical body that orbits planet Earth, being Earth's only permanent natural satellite. It is the fifth-largest natural satellite in the Solar System, and the largest among planetary satellites relative to the size of the planet that it orbits",1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/FullMoon2010.jpg/225px-FullMoon2010.jpg,no,
-2,Mercury,Planet,Mercury is the smallest and innermost planet in the Solar System,1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Mercury_in_color_-_Prockter07-edit1.jpg/1024px-Mercury_in_color_-_Prockter07-edit1.jpg,no,
-3,Mars,Planet,Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System after Mercury,1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/OSIRIS_Mars_true_color.jpg/1024px-OSIRIS_Mars_true_color.jpg,no,
-4,Jupiter,Planet,Jupiter is the fifth planet from the Sun and the largest in the Solar System,1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Jupiter_and_its_shrunken_Great_Red_Spot.jpg/260px-Jupiter_and_its_shrunken_Great_Red_Spot.jpg,no,
-5,Saturn,Planet,Saturn is the sixth planet from the Sun and the second-largest in the Solar System after Jupiter,1000000,https://upload.wikimedia.org/wikipedia/commons/2/29/Saturn_Storm.jpg,no,
-6,Uranus,Planet,Uranus is the seventh planet from the Sun. It has the third-largest planetary radius and fourth-largest planetary mass in the Solar System,1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Uranus2.jpg/1024px-Uranus2.jpg,no,
-7,Neptune,Planet,Neptune is the eighth and farthest known planet from the Sun in the Solar System,1000000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Neptune_Full.jpg/1024px-Neptune_Full.jpg,no,
-8,Venus,Planet,Venus is the second planet from the Sun. it orbiting the Sun every 224.7 Earth days,1000000,https://upload.wikimedia.org/wikipedia/commons/8/85/Venus_globe.jpg,no,
-9,Ceres_(dwarf_planet),dwarf planet,,100000,https://upload.wikimedia.org/wikipedia/commons/7/76/Ceres_-_RC3_-_Haulani_Crater_%2822381131691%29_%28cropped%29.jpg,no,
