hd,name,object,info,price,img
60032,60032,"star","",0.015,""
60034,60034,"star","",0.015,""
60036,60036,"star","",0.015,""
60037,60037,"star","",0.015,""
60038,60038,"star","",0.015,""
60040,60040,"star","",0.015,""
60041,60041,"star","",0.015,""
60044,60044,"star","",0.015,""
60046,60046,"star","",0.015,""
60057,60057,"star","",0.015,""
60060,60060,"star","",0.015,""
60062,60062,"star","",0.015,""
60063,60063,"star","",0.015,""
60070,60070,"star","",0.015,""
60071,60071,"star","",0.015,""
60076,60076,"star","",0.015,""
60077,60077,"star","",0.015,""
60078,60078,"star","",0.015,""
60081,60081,"star","",0.015,""
60086,60086,"star","",0.015,""
60092,60092,"star","",0.015,""
60097,60097,"star","",0.015,""
60098,60098,"star","",0.015,""
60102,60102,"star","",0.015,""
60103,60103,"star","",0.015,""
60105,60105,"star","",0.015,""
60107,60107,"star","",0.015,""
60108,60108,"star","",0.015,""
60111,60111,"star","",0.015,""
60114,60114,"star","",0.015,""
60116,60116,"star","",0.015,""
60128,60128,"star","",0.015,""
60129,60129,"star","",0.015,""
60130,60130,"star","",0.015,""
60133,60133,"star","",0.015,""
60134,60134,"star","",0.015,""
60136,60136,"star","",0.015,""
60137,60137,"star","",0.015,""
60138,60138,"star","",0.015,""
60139,60139,"star","",0.015,""
60149,60149,"star","",0.015,""
60150,60150,"star","",0.015,""
60152,60152,"star","",0.015,""
60153,60153,"star","",0.015,""
60155,60155,"star","",0.015,""
60156,60156,"star","",0.015,""
60157,60157,"star","",0.015,""
60162,60162,"star","",0.015,""
60168,60168,"star","",0.015,""
60173,60173,"star","",0.015,""
60178,60178,"star","",0.015,""
60180,60180,"star","",0.015,""
60183,60183,"star","",0.015,""
60195,60195,"star","",0.015,""
60196,60196,"star","",0.015,""
60197,60197,"star","",0.015,""
60199,60199,"star","",0.015,""
60201,60201,"star","",0.015,""
60204,60204,"star","",0.015,""
60206,60206,"star","",0.015,""
60218,60218,"star","",0.015,""
60219,60219,"star","",0.015,""
60221,60221,"star","",0.015,""
60224,60224,"star","",0.015,""
60227,60227,"star","",0.015,""
60228,60228,"star","",0.015,""
60232,60232,"star","",0.015,""
60233,60233,"star","",0.015,""
60234,60234,"star","",0.015,""
60235,60235,"star","",0.015,""
60237,60237,"star","",0.015,""
60246,60246,"star","",0.015,""
60249,60249,"star","",0.015,""
60250,60250,"star","",0.015,""
60252,60252,"star","",0.015,""
60253,60253,"star","",0.015,""
60260,60260,"star","",0.015,""
60261,60261,"star","",0.015,""
60265,60265,"star","",0.015,""
60266,60266,"star","",0.015,""
60270,60270,"star","",0.015,""
60271,60271,"star","",0.015,""
60272,60272,"star","",0.015,""
60275,60275,"star","",0.015,""
60276,60276,"star","",0.015,""
60279,60279,"star","",0.015,""
60282,60282,"star","",0.015,""
60284,60284,"star","",0.015,""
